filmtv_id;directors;genre;year;nb_comedy_real;nb_drama_real
845;Julien Duvivier;1;1937;0;2
847;Lloyd Bacon;0;1938;0;1
852;Richard Fleischer;1;1961;1;4
853;Edward Dmytryk;1;1972;0;11
853;Luciano Sacripanti;1;1972;0;0
858;Marcello Ciorciolini;0;1967;0;0
860;Jean Delannoy;0;1960;1;1
861;Guido Brignone;0;1948;3;5
866;Seijun Suzuki;1;1964;0;1
868;Stanley Kubrick;1;1975;0;2
870;Lina WertmÃ¼ller;0;1963;0;0
874;Nanni Loy;0;1976;7;1
874;Luigi Magni;0;1976;4;1
874;Luigi Comencini;0;1976;20;5
876;Luciano Salce;0;1970;14;0
891;Tom Jeffrey;1;1978;0;0
893;Don Barnhart;0;1992;0;0
896;Serge Korber;0;1970;0;0
897;Leonard Nimoy;0;1990;1;1
900;Luciano Salce;0;1977;22;0
901;Blake Edwards;0;1986;21;2
903;Mauro Bolognini;1;1959;6;0
905;Luigi Chiarini;1;1942;0;0
906;Joseph Anthony;0;1958;1;0
908;Jerry Rees;0;1991;0;0
914;Luigi Comencini;0;1955;5;1
918;Howard Deutch;0;1986;0;0
919;Lloyd Bacon;0;1953;1;2
920;Leni Riefenstahl;1;1932;0;0
921;Mario Camerini;0;1955;9;10
923;Nando Cicero;0;1973;2;0
927;Dino Risi;0;1957;4;0
928;Mike Leigh;1;1988;0;0
929;Giancarlo Zagni;0;1962;0;0
931;Carlo Campogalliani;0;1951;2;3
932;Romolo Guerrieri;0;1961;0;0
933;Gus Van Sant;1;1991;0;1
934;Luchino Visconti;1;1951;0;2
935;Camillo Mastrocinque;0;1958;12;1
936;Mauro Bolognini;1;1969;13;7
937;Gianni Grimaldi;0;1967;1;0
939;William A. Wellman;1;1954;2;11
940;Gianni Grimaldi;0;1971;7;0
943;William A. Graham;1;1992;0;1
950;AndrÃ© Delvaux;1;1983;0;2
952;Leo Penn;1;1988;0;0
956;Peter Bogdanovich;1;1968;0;0
963;Mario Monicelli;0;1984;34;6
965;Fritz Lang;1;1954;0;12
968;Tony Scott;0;1987;0;0
969;Martin Brest;0;1984;1;0
971;Nanni Moretti;1;1984;3;0
979;Penny Marshall;0;1988;1;0
983;John Hughes;0;1987;4;0
988;John Ford;0;1950;0;12
989;Peter Ustinov;1;1962;1;0
991;Pasquale Festa Campanile;0;1982;23;4
993;Norman Taurog;0;1962;9;2
995;Carmine Gallone;0;1946;0;5
997;Alan Parker;1;1984;2;2
998;Raffaello Matarazzo;0;1943;6;0
999;Franco Zeffirelli;0;1967;0;0
1001;Castellano & Pipolo;0;1980;4;0
1002;Thomas J. Wright;1;1990;0;0
1004;Atom Egoyan;1;1987;1;0
1014;Victor Fleming;0;1933;0;1
1022;John Landis;0;1980;3;0
1023;Salvatore Piscicelli;0;1985;0;0
1025;George Marshall;0;1950;3;1
1026;Tim Robbins;1;1992;0;0
1029;Luca Verdone;1;1990;1;0
1029;Mara Bronzoni;1;1990;0;0
1033;Vittorio De Sica;0;1962;6;6
1033;Federico Fellini;0;1962;3;4
1033;Luchino Visconti;0;1962;1;5
1033;Mario Monicelli;0;1962;15;2
1034;Mario Monicelli;0;1961;14;2
1043;Steno;0;1983;61;1
1044;Vittorio De Sica;0;1963;7;7
1045;Elia Kazan;1;1947;0;1
1046;Mark Rydell;0;1969;0;1
1048;Christopher Leitch;1;1979;0;0
1050;Carlo Verdone;0;1981;1;0
1055;Andrew Bergman;0;1989;1;0
1056;James Ivory;1;1984;0;4
1067;Ben Bolt;1;1987;0;0
1076;Luigi Filippo D'Amico;0;1955;0;0
1077;Carlo Campogalliani;1;1941;0;1
1079;Joel Silberg;0;1984;0;0
1087;Adell Aldrich;1;1978;0;0
1088;Vittorio De Sica;1;1973;15;9
1089;Terry Jones;0;1979;0;0
1090;Luca Davan (Mario Forges Davanzati);0;1974;0;0
1092;Jimmy Huston;0;1987;0;0
1100;Woody Allen;0;1984;10;1
1101;Clint Eastwood;0;1980;0;1
1103;Stuart Rosenberg;1;1980;1;3
1104;Giorgio Capitani;0;1976;3;2
1105;Howard Hawks;1;1936;1;5
1106;Vincente Minnelli;1;1952;4;0
1107;Mauro Bolognini;1;1970;13;9
1110;Marcel OphÃ¼ls;0;1963;0;0
1112;Frank Borzage;1;1940;1;5
1114;Bertrand Blier;0;1979;2;0
1117;Stefano Rolla;1;1979;0;0
1119;Robert Mulligan;1;1962;2;1
1121;Ron Shelton;0;1988;0;0
1123;Randal Kleiser;1;1984;2;0
1125;Gianni Franciolini;0;1952;3;4
1126;Leo McCarey;0;1948;5;1
1127;Riccardo Sesani;0;1982;1;0
1129;Melvin Frank;0;1968;2;1
1130;Elio Petri;1;1979;1;7
1134;Castellano & Pipolo;0;1986;14;0
1135;Joe Dante;0;1989;1;0
1136;JosÃ© Maria Sanchez;0;1989;0;0
1140;Francis Ford Coppola;0;1966;0;0
1141;Matt Cimber;1;1981;0;0
1142;Enrico Oldoini;0;1988;4;0
1144;Norman Taurog;0;1952;1;2
1148;Claudio De Molinis;0;1980;0;0
1149;Robert Mulligan;0;1982;3;9
1150;Duccio Tessari;0;1989;3;1
1152;Sergio Leone;1;1984;0;1
1153;Georges Lautner;0;1971;0;0
1154;Gordon Douglas;0;1940;1;0
1157;Nicholas Ray;1;1963;0;10
1165;Marino Girolami;0;1960;4;0
1166;Edouard Molinaro;0;1964;2;0
1172;Arthur Penn;1;1966;0;1
1174;Giuseppe De Santis;1;1947;0;0
1180;Norman Tokar;0;1963;0;0
1185;Mario MattÃ²li;0;1964;52;8
1186;Brian De Palma;0;1987;6;0
1187;Roger Donaldson;0;1990;1;1
1188;Richard Quine;0;1956;0;0
1190;Mikhail E. Tciaoureli;1;1949;0;0
1192;Nanni Loy;0;1980;9;1
1193;Marco Ferreri;0;1972;5;1
1194;Giorgio Bianchi;1;1950;0;2
1196;Pasquale Festa Campanile;0;1973;8;2
1198;Luis Mandoki;1;1990;0;1
1200;Christian-Jaque;1;1967;2;5
1201;Giovanna Gagliardo;1;1990;0;0
1203;Alberto Bevilacqua;1;1970;0;0
1206;Robert Aldrich;0;1981;1;12
1207;Robert Altman;0;1974;1;3
1208;Herbert Ross;0;1978;4;1
1211;Jean Girault;0;1968;3;0
1214;Camillo Mastrocinque;0;1959;16;2
1215;Giorgio Bianchi;0;1962;15;3
1216;Ted Kotcheff;0;1987;2;2
1222;Flavio Mogherini;0;1982;7;0
1223;Giuseppe Bertolucci;0;1988;1;4
1227;Giuseppe Tornatore;1;1986;0;0
1230;Luigi Zampa;1;1948;1;0
1231;Leo McCarey;1;1945;5;0
1233;Franco Zeffirelli;1;1979;1;2
1236;Mario Bonnard;0;1943;5;2
1243;Glauber Rocha;1;1972;0;3
1249;Sam Peckinpah;1;1971;0;0
1250;Bruno Corbucci;0;1982;29;0
1251;Leonardo De Mitri;0;1952;0;1
1256;NinÃ¬ Grassia;0;1984;0;5
